user,text
GlennaJMoore,@Mike_Pence ERIC SWALWELL MUST BE PUT OUT OF CONGRESS/  WE CAN'T HAVE A MAN IN CONGRESS THAT DEALS WITH SPIES//
l9outlookpt1,@Mike_Pence We're Not Gonna Take It https://t.co/gPQlTAvIWm via @YouTube
Zolinda46,"@Mike_Pence @VP I know you are not as crazy as Trump, so why are you still kissing his a**? Try to leave with your dignity somewhat intact."
michaelsarpi,@Mike_Pence Aren’t you the person in charge of protecting the USA from COVID?
kjgnola,"@Mike_Pence Hmmm, I'm an American. I voted for Biden and he won. Who exactly is the ""they win"" you are referring to… https://t.co/jhw6689aFy"
jpisula,"@Mike_Pence @Perduesenate @KLoeffler Yes, while Mike and Donnie play 18🏌🏾‍♂️⛳️"
Oscar46287334,@Mike_Pence 'Miracle Mike' the human suppository
5FgdiTTt99KHfjO,"@Mike_Pence @VP @realDonaldTrump Pleas, help me!!!"
permian_repeat,@Mike_Pence 🤥🤥🤥🤥🤥🤥🤥🤥🤥
HB43533062,@Mike_Pence @VP @realDonaldTrump Any D or R administration would have done the same . Stop trying to act like you a… https://t.co/zUSDeSqSTu
CarolPrissy48,"@Mike_Pence How about babies being  killed in the home in shelters , on the street ? Children starving,  being beat… https://t.co/2RHMy6wOK7"
itacyrsallesdas,"@Mike_Pence @WhiteHouse @realDonaldTrump FORÇA mike pence, TRUMP vai permanecer no cargo. Essa onda esquerdista destruidora será vencida."
navycmdr,@Mike_Pence Bill Ackman's #1 Stock for 2021 Fannie Freddie +600% !!! https://t.co/hknWgxUoVg
too_excited,RT @RyanToh11: @Mike_Pence They?? 81 Million Americans are THEY? Your divisive rhetoric has divided this country probably as bad as during…
ianinamerica,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler For all you’ve done?  One 9/11 per day dying? We really don’t need any more of that.
0Champ5,@Mike_Pence Please give my best regards to our military to that is putting up with the Hypocriticy within forms of… https://t.co/ihm0nhej3W
patrici74244792,@Mike_Pence Stop kissing the presidents ass you’re like a little doggie following him around!
ProphetessWarre,@Mike_Pence So what are you doing to help matters?
maier_amsden,"@Mike_Pence Why should Republicans vote in an election system their party openly calls ""rigged"" - seeking to toss m… https://t.co/F9wfryWqn9"
PClaxton4,@Mike_Pence @VP You are from Mars; go back!
TRE45ON,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler Who doesn’t want to vote for more death and poverty. More vir… https://t.co/z6njbxVnzV
PClaxton4,@Mike_Pence @VP @realDonaldTrump Nothing you did to help.  Stop taking credit for this.  Pack up Mikey and take the dirt bag donald with you
ZBlime,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler Your level of lap dog is off the charts here. The president i… https://t.co/BqNcdkpCHi
TWoZ53,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler https://t.co/5hvGqCTdMh
